0,1.e-04,7.51218e-03,5.77788e-03
1,1.e-04,5.81827e-03,5.59308e-03
2,1.e-04,5.66273e-03,5.44275e-03
3,1.e-04,5.61018e-03,5.45432e-03
4,1.e-04,5.53123e-03,5.49633e-03
5,1.e-04,5.45144e-03,5.2363e-03
6,1.e-04,5.3748e-03,5.22329e-03
7,1.e-04,5.31878e-03,5.14124e-03
8,1.e-04,5.24333e-03,5.16004e-03
9,1.e-04,5.14622e-03,5.14012e-03
10,1.e-04,5.06704e-03,4.90868e-03
11,1.e-04,5.02283e-03,4.92738e-03
12,1.e-04,4.95038e-03,4.84423e-03
13,1.e-04,4.92963e-03,4.81199e-03
14,1.e-04,4.82694e-03,4.72679e-03
15,1.e-04,4.77718e-03,4.78578e-03
16,1.e-04,4.76194e-03,4.72146e-03
17,1.e-04,4.66030e-03,4.59878e-03
18,1.e-04,4.58676e-03,4.61936e-03
19,1.e-04,4.57192e-03,4.67062e-03
