0,1.e-04,2.29892e-01,9.61069e-02
1,1.e-04,5.53464e-02,3.41362e-02
2,1.e-04,2.62351e-02,2.02978e-02
3,1.e-04,1.81250e-02,1.46457e-02
4,1.e-04,1.4094e-02,1.21712e-02
5,1.e-04,1.17345e-02,1.05665e-02
6,1.e-04,9.99356e-03,9.33441e-03
7,1.e-04,8.90205e-03,8.47195e-03
8,1.e-04,8.11576e-03,7.86244e-03
9,1.e-04,7.40977e-03,6.99894e-03
10,1.e-04,7.19208e-03,6.90145e-03
11,1.e-04,6.82627e-03,6.60121e-03
12,1.e-04,6.56796e-03,6.40603e-03
13,1.e-04,6.32491e-03,6.11629e-03
14,1.e-04,6.27236e-03,6.12457e-03
15,1.e-04,6.15013e-03,6.23517e-03
16,1.e-04,6.00466e-03,5.78319e-03
17,1.e-04,5.91859e-03,5.59102e-03
18,1.e-04,5.92438e-03,5.87421e-03
19,1.e-04,5.72405e-03,5.60288e-03
